title,directions,NER
Crunchy  Onion Burger,"[""Mix beef, 2/3 cup French fried onions and seasonings; shape into 6 burgers."", ""Grill or broil 10 minutes or until no longer pink in center, turning twice."", ""Serve on rolls and top with 2/3 cup onions."", ""Makes 6 servings.""]","[""ground beef"", ""rolls"", ""onions"", ""salt""]"
Cheese Ball,"[""Combine all ingredients in a large bowl."", ""Mix at low speed until well blended."", ""Chill until firm."", ""Shape into ball and roll in chopped pecans."", ""Wrap in foil and refrigerate overnight.""]","[""lemon juice"", ""soy sauce"", ""cheddar cheese"", ""onion"", ""cream cheese"", ""parsley"", ""paprika"", ""dry mustard"", ""salt""]"
Pumpkin Squares,"[""Combine flour, oats, 1/2 cup brown sugar and 1/2 cup butter in bowl."", ""Mix until crumbly."", ""Press into greased 13 x 9-inch pan. Bake at 350\u00b0 for 15 minutes."", ""Combine pumpkin, evaporated milk, eggs, sugar and spices in mixing bowl."", ""Beat well."", ""Pour into crust."", ""Bake at 350\u00b0 for 20 minutes."", ""Combine nuts, brown sugar and butter."", ""Sprinkle on top."", ""Bake for 15 to 20 minutes until filling is set.""]","[""sugar"", ""ginger"", ""oats"", ""brown sugar"", ""eggs"", ""cinnamon"", ""cloves"", ""flour"", ""pumpkin"", ""margarine"", ""walnuts"", ""milk"", ""butter""]"
Old Time Buttermilk Pie,"[""Soften butter and add sugar; cream together. Add flour and eggs; beat well. Stir in buttermilk, vanilla, and nutmeg. Pour into unbaked pie shell. Bake for 45 to 50 minutes at 350\u00b0. Place on wire rack to cool before serving.""]","[""buttermilk"", ""sugar"", ""vanilla"", ""shell"", ""nutmeg"", ""eggs"", ""flour"", ""butter""]"
Two Sweet Potato Pies,"[""Boil sweet potatoes; peel and mash."", ""Beat eggs and combine with potatoes, sugar and vanilla."", ""Stir all together and pour into pastry shell."", ""Bake at 350\u00b0 for 30 minutes."", ""Let set 15 minutes before serving.""]","[""potatoes"", ""sugar"", ""vanilla"", ""eggs"", ""pastry shell"", ""coconut"", ""milk""]"
Broccoli-Cauliflower Soup,"[""Cut vegetables into small pieces, discarding any of the stem too tough to poke with a fingernail. Barely cover with broth and slowly cook until tender. In another pan, saut onion in butter or margarine on medium heat."", ""Add flour to make a roux; slowly add flour, stirring constantly to thicken and prevent lumping. Slowly add milk while stirring constantly. Lower heat and cook 45 minutes; continue stirring occasionally. Serve with grated cheese and pepper.""]","[""milk"", ""black pepper"", ""cheddar cheese"", ""onion"", ""flour"", ""chicken broth"", ""broccoli"", ""cauliflower"", ""butter""]"
Fresh Apple Cake,"[""Mix."", ""Bake"", ""in\tthree"", ""9-inch pans at 325\u00b0 for 25 to 30 minutes or until done.""]","[""cake flour"", ""sugar"", ""vanilla"", ""eggs"", ""soda"", ""wesson oil"", ""fresh apples"", ""salt""]"
Russian Tea,"[""Mix all ingredients."", ""Use 1 tablespoon (heaping) per cup of water.""]","[""cloves"", ""lemon"", ""sugar"", ""cinnamon""]"
Hunter'S Delight,"[""Melt butter in skillet."", ""Add onion and cook 5 minutes."", ""Add meat and seasonings."", ""Cook until browned."", ""Add corn and milk."", ""Put potatoes in a 2-quart casserole; cover with meat mixture."", ""Bake, uncovered, in a 375\u00b0 oven for about 1 1/2 hours."", ""Yield:"", ""6 servings.""]","[""potatoes"", ""pepper"", ""onion"", ""milk"", ""ground beef"", ""butter"", ""cream-style"", ""salt""]"
"Pie Crust(""Never Fail"")  ","[""Cut shortening into flour and salt."", ""Combine egg, water and vinegar."", ""Pour liquid into flour mixture all at once."", ""Blend with spoon, just until flour mixture is all moistened."", ""This is an easy crust to handle and can be re-rolled without toughening."", ""Bake at 450\u00b0 for 10 minutes.""]","[""egg"", ""vinegar"", ""shortening"", ""water"", ""flour"", ""salt""]"
Burnt Caramel Cake Icing,"[""Put 2 cups sugar and milk in a saucepan."", ""Add syrup."", ""Put the 1/2 cup sugar in a small skillet and pour enough water over it to moisten good."", ""Turn on low heat under saucepan."", ""While it is heating, brown the sugar in the skillet."", ""When brown, pour it into the saucepan."", ""Cook until soft ball forms in cold water."", ""Remove from stove and beat until ready to spread on the cake."", ""Add butter, the size of a walnut, and flavoring.""]","[""sugar"", ""white karo syrup"", ""milk""]"
Chicken Sweet-Sour,"[""Mix ingredients; pour over chicken."", ""Bake for 1 1/2 hours at 350\u00b0.""]","[""salad dressing"", ""apricot preserves"", ""chicken"", ""onion soup""]"
Microwave Fudge,"[""Stir and microwave first 3 ingredients for 3 minutes."", ""Stir in vanilla and nuts."", ""Put into pan.""]","[""condensed milk"", ""vanilla"", ""nuts"", ""sweet chocolate chips"", ""semi-sweet chocolate chips""]"
Breakfast Rolls,"[""Place nuts in bottom of greased Bundt pan."", ""Arrange rolls on top."", ""Sprinkle dry pudding over rolls."", ""Cook butter, sugar and cinnamon over low heat until sugar is dissolved and mixture bubbles; pour over rolls."", ""Cover tightly with foil and let stand on counter overnight."", ""Next morning, bake at 350\u00b0 for 30 minutes (take foil off before baking)."", ""Let stand 5 minutes, then invert onto serving dish.""]","[""butterscotch pudding"", ""cinnamon"", ""brown sugar"", ""nuts"", ""butter"", ""dinner rolls""]"
Kentucky Cream Candy,"[""Put cream cheese in mixer bowl 30 minutes to soften."", ""Add salt and vanilla."", ""Add 2 cups sugar; beat."", ""Add 2 more cups of sugar; beat."", ""Add remaining sugar and beat well."", ""Cover and chill in refrigerator until firm."", ""Shape into small balls and roll in coconut."", ""Store in a foil-lined metal box in refrigerator.""]","[""vanilla"", ""cream cheese"", ""coconut"", ""confectioners sugar"", ""salt""]"
Thousand Island Dressing,"[""Mix all ingredients together."", ""Makes 1 1/2 quarts.""]","[""vinegar"", ""miracle"", ""sugar"", ""chili sauce"", ""onion"", ""tomato soup"", ""sweet relish"", ""garlic"", ""mustard""]"
Rolls,"[""Scald milk with butter."", ""Pour into large mixing bowl."", ""Add sugar and salt."", ""Let cool."", ""Add eggs (unbeaten), yeast cake and 1 1/2 cups flour."", ""Mix well for two minutes."", ""Stir remaining flour. Put in icebox and let rise overnight."", ""Make rolls at least two hours before cooking.""]","[""sugar"", ""eggs"", ""flour"", ""yeast"", ""milk"", ""butter"", ""salt""]"
Brownies,"[""Mix all ingredients together; add nuts."", ""Pour into a greased and floured cookie sheet."", ""Bake only 23 minutes in a 350\u00b0 oven. Cool and frost.""]","[""oleo"", ""vanilla"", ""milk"", ""brown sugar"", ""eggs"", ""flour"", ""nuts"", ""cocoa"", ""white sugar"", ""salt""]"
Diabetic Cookies,"[""Mix applesauce, margarine, eggs, vanilla and sugar."", ""Add the remaining ingredients."", ""Drop by teaspoon on cookie sheet and bake 15 minutes at 375\u00b0.""]","[""unsweetened applesauce"", ""vanilla"", ""eggs"", ""brown sugar"", ""soda"", ""cinnamon"", ""raisins"", ""flour"", ""nuts"", ""margarine"", ""allspice"", ""oatmeal"", ""salt""]"
Chocolate-Dipped Strawberries,"[""Combine chocolate and whipping cream in a glass measuring cup or bowl. Microwave at Medium power for 1 minute or until the chocolate melts, stirring after 30 seconds. Stir in the almond extract and cool slightly. Dip each strawberry into the melted chocolate, allowing the excess to drip off. Place on waxed paper-lined baking sheet. Refrigerate or freeze for approximately 15 minutes, until the chocolate is set.""]","[""semi-sweet chocolate"", ""strawberries"", ""almond"", ""whipping cream""]"
"Working Mother'S ""Mess""(Renamed Dad'S Quick Delight)  ","[""Brown meat over medium heat in a large skillet."", ""Remove meat from pan and drain off fat."", ""Stir 1 to 3 tablespoons tamari sauce into meat."", ""Saute onion, garlic and tomatoes."", ""Add spaghetti sauce and heat."", ""Add cooked beans and meat mixture."", ""Stir gently to mix; then simmer to blend flavors."", ""Serve when blended and heated through."", ""Serves 4. Serve with garlic bread and green salad.""]","[""tomatoes"", ""tamari sauce"", ""chunky spaghetti sauce"", ""onions"", ""beans"", ""ground beef"", ""garlic""]"
Chicken With Tarragon,"[""Lightly brown meat side of chicken breasts."", ""Lay all 4 chicken breasts, meat side down, in small (8-inch) skillet."", ""Add enough water, with chicken bouillon, added to just cover chicken."", ""Add onion over top of chicken."", ""Sprinkle with tarragon."", ""Bring to boil and reduce heat to medium."", ""Cover skillet with well-fitting lid and cook approximately 30 to 45 minutes or until chicken is done. Add a little water if necessary to replace any lost in steam.""]","[""tarragon"", ""chicken bouillon"", ""onion"", ""chicken breasts""]"
Lemon Jello Vegetable Salad,"[""Mix box of jello with the cup of boiling water."", ""Mix until dissolved."", ""Add cold water."", ""Let jell slightly, then add all other ingredients."", ""Mix and jell in a flat, 1 1/2-quart dish."", ""Cut into squares to serve on a lettuce leaf.""]","[""cabbage"", ""grated carrot"", ""lemon jello"", ""water"", ""cold water"", ""celery"", ""pineapple tidbits"", ""green pepper""]"
Shrimp Batter,"[""Mix all ingredients with a mixer."", ""Deep-fry shrimp.""]","[""egg"", ""baking powder"", ""soda"", ""cold water"", ""flour"", ""cornstarch"", ""paprika""]"
Chicken-Cheese Ball,"[""Combine all ingredients, except nuts and cherry."", ""Form into ball."", ""Roll in enough nuts to cover."", ""(If too soft, chill a little first, then roll in nuts.)"", ""Can garnish with cherry on top.""]","[""soy sauce"", ""onion"", ""pecans"", ""cream cheese"", ""mayonnaise"", ""chicken"", ""maraschino cherry""]"
Salted Nut Squares,"[""Place half the peanuts in an ungreased 11 x 7-inch pan."", ""In saucepan, melt butter and peanut butter chips over low heat."", ""Add milk and marshmallows."", ""Cook and stir until melted."", ""Pour over peanuts."", ""Sprinkle remaining peanuts on top."", ""Cover; refrigerate. Cut into bars."", ""Makes 5 to 6 dozen.""]","[""condensed milk"", ""marshmallows"", ""peanut butter"", ""butter"", ""peanuts""]"
Date Cake,"[""Sprinkle dates with baking soda and cover with hot water."", ""Let stand until cool."", ""Cream margarine, sugar and egg."", ""Add dry ingredients, nuts and dates."", ""Pour into lightly greased 8 x 8-inch pan and bake at 350\u00b0 for at least 45 minutes.""]","[""egg"", ""sugar"", ""baking soda"", ""water"", ""dates"", ""flour"", ""margarine"", ""walnuts"", ""salt""]"
Crescent Cake,"[""Mix yellow cake mix, margarine, egg and 1/2 cup chopped nuts. This mixture will be thick."", ""Press into greased 9 x 10-inch pan. Mix confectioners sugar, cream cheese and 2 eggs."", ""Beat until smooth."", ""Pour over cake batter."", ""Bake at 350\u00b0 for 45 minutes.""]","[""egg"", ""eggs"", ""cream cheese"", ""nuts"", ""margarine"", ""confectioners sugar"", ""yellow cake mix""]"
Freezer Pie Crust,"[""Combine water and white syrup in a very large bowl."", ""Add all other ingredients and mix well."", ""Roll into crust size balls, wrap and freeze."", ""Rolls out great."", ""Makes 20 to 24 balls.""]","[""white syrup"", ""shortening"", ""water"", ""flour"", ""salt""]"
Basic Graham Cracker Crust,"[""Preheat the oven to 375\u00b0. In the bowl of a food processor fitted with the metal blade, process the graham crackers and sugar to fine crumbs. With the motor running, add the butter and process until the crumbs are moist and stick together. Press the graham cracker mixture into the bottom and sides of a 9-inch pie pan. Bake in the center of the oven for 8 minutes or until the edges are slightly brown. Makes a single 9-inch crust.""]","[""graham cracker crumbs"", ""sugar"", ""unsalted butter""]"
Creamy Chicken And Mushrooms,"[""In skillet, in 1 tablespoon hot margarine, cook chicken 10 minutes or until browned on both sides."", ""Remove."", ""In remaining 1 tablespoon hot margarine, cook mushrooms and onion with garlic powder until tender and liquid is evaporated (stirring often). Add remaining ingredients."", ""Heat to boiling."", ""Return chicken to skillet."", ""Cover; cook over low heat 5 minutes or until chicken is no longer pink, stirring occasionally."", ""Serves 4.""]","[""pepper"", ""cream of mushroom soup"", ""onion"", ""mushroom"", ""margarine"", ""skinless"", ""milk"", ""sherry"", ""garlic""]"
Sweet And Sour Red Cabbage,"[""In a pot of water with 1 tablespoon salt, boil shredded cabbage until just tender."", ""Cook it quickly, perhaps 10 minutes at most, to retain its Vitamin C."", ""Drain; stir in chopped onion that has been glaceed in a nonstick frypan."", ""Add salt, pepper, sugar and vinegar; stir at least two minutes until the vinegar permeates the cabbage, which will become limp."", ""Serve hot with Best Herbed Pork Roast.""]","[""sugar"", ""pepper"", ""onion"", ""red cabbage"", ""cider vinegar"", ""caraway"", ""salt""]"
Hot Rolls,"[""Use 1/2 cup water to melt yeast."", ""Add remainder of water to other 4 ingredients."", ""Mix well; knead in enough flour as for biscuits."", ""Put in a greased bowl with Crisco and let rise until double in bulk."", ""Grease top of dough with Crisco."", ""When dough has doubled, make out rolls."", ""Put in greased pan and let rise."", ""Bake in moderate oven until brown.""]","[""sugar"", ""water"", ""flour"", ""melted crisco"", ""yeast"", ""salt""]"
Chicken Casserole,"[""Spread rice in bottom of a 9 x 13-inch glass casserole dish. Sprinkle onion soup mix on top."", ""Lay chicken pieces on top and spoon mushroom soup over all."", ""Pour water around chicken pieces. Cover with foil and bake at 325\u00b0 for 1 1/2 hours. Take foil off the last 1/2 hour."", ""Check liquid content and add, if necessary.""]","[""onion soup"", ""cream of mushroom soup"", ""water"", ""rice"", ""chicken""]"
Raisin Walnut Shortbread Bars,"[""Heat oven to 350\u00b0."", ""Lightly grease an 8-inch square pan. Combine flour and sugar."", ""Using pastry blender or fork, cut in margarine until mixture resembles fine meal."", ""Press into greased pan."", ""Bake for 20 minutes, or just until edges are golden.""]","[""sugar"", ""vanilla"", ""eggs"", ""brown sugar"", ""baking soda"", ""raisins"", ""flour"", ""walnuts"", ""butter"", ""flaked coconut""]"
Pineapple Parfait Pie,"[""Heat 3/4 cup liquid from pineapple plus water (if needed) to boiling."", ""Remove from heat."", ""Add Jell-O."", ""Dissolve."", ""Add ice cream until melted."", ""Chill until thickened (10 to 15 minutes)."", ""Fold in pineapple."", ""Turn into pie shell."", ""Chill until firm, about 20 minutes."", ""Top with Cool Whip.""]","[""vanilla ice cream"", ""no"", ""lemon jell-o"", ""shell""]"
Cherry Supreme,"[""Mix graham cracker crumbs and white sugar together."", ""Melt butter and pour over the sugar and crumbs; press into a cake pan. Stir and soften cream cheese, powdered sugar and Cool Whip until it is light and fluffy."", ""Add to cool crust, then pour the cherry filling on top of the cream cheese."", ""Store in refrigerator overnight.""]","[""graham cracker crumbs"", ""powdered sugar"", ""cream cheese"", ""white sugar"", ""cherry pie filling"", ""butter""]"
Red Beet Cake,"[""Mix all together."", ""Bake at 350\u00b0 for 25 to 35 minutes until done in center.""]","[""sugar"", ""vanilla"", ""eggs"", ""soda"", ""chocolate"", ""flour"", ""crisco oil"", ""salt""]"
Reuben Casserole,"[""Spread sauerkraut in baking dish."", ""Top with sliced tomato, dressing and corned beef."", ""Sprinkle with cheese and caraway seed. Toss rye bread crumbs with butter and sprinkle over casserole. Bake, uncovered, at 375\u00b0 for 20 to 25 minutes.""]","[""tomato"", ""caraway seed"", ""swiss cheese"", ""rye bread"", ""beef"", ""butter"", ""sauerkraut""]"
Potato Casserole,"[""Mix sour cream, Cheez Whiz, onions and parsley."", ""Fold in potatoes."", ""Fold in sausage."", ""Pour in large baking pan."", ""Bake at 350\u00b0 for 45 minutes."", ""Top with red pepper and a few sausage slices for looks.""]","[""sour cream"", ""onions"", ""parsley"", ""irish potatoes"", ""sausage""]"
